이미지,bbox면적(%),최고신뢰도,최고IoU,원인
00032.jpg,0.20051946179999997,0.010669968090951443,0.590433436584292,낮은 신뢰도
00048.jpg,0.8750025,0.0,0.0,미검출
00145.jpg,1.6621206770999999,0.14242467284202576,0.8869722572372761,낮은 신뢰도
00152.jpg,0.1302075,0.0,0.0,미검출
00171.jpg,0.3394103125,0.03225627541542053,0.8348603821278548,낮은 신뢰도
00185.jpg,0.8741306249999999,0.18970565497875214,0.7904638309120863,낮은 신뢰도
00199.jpg,0.39148928819999995,0.14541813731193542,0.04046010387651328,미검출
00265.jpg,0.3732625,0.10664752125740051,0.8903623298177079,낮은 신뢰도
00312.jpg,7.501938749999999,0.014028416946530342,0.02013159459344803,미검출
00351.jpg,0.9520437066,0.0,0.0,미검출
00498.jpg,0.027778124999999997,0.20763757824897766,0.49231246235199716,위치 부정확
00597.jpg,0.0091627064,0.03960353136062622,0.2864217792469779,위치 부정확
00640.jpg,0.056713124999999996,0.1981469690799713,0.41056093512391,위치 부정확
00701.jpg,0.0388204784,0.14507921040058136,0.6926158688988835,낮은 신뢰도
00703.jpg,0.050347499999999996,0.03353045880794525,0.6341036640786145,낮은 신뢰도
00720.jpg,0.0897956385,0.0224298108369112,0.6160584188428492,낮은 신뢰도
00741.jpg,0.0339034703,0.0,0.0,미검출
00872.jpg,0.018180684800000003,0.22586236894130707,0.5927325386936254,낮은 신뢰도
00920.jpg,0.0564246412,0.0,0.0,미검출
01004.jpg,0.17621625,0.22327300906181335,0.565077482965969,낮은 신뢰도
01092.jpg,0.8307321874999999,0.8700159192085266,0.3958432119551698,위치 부정확
01092.jpg,0.6940028645999999,0.8700159192085266,0.3311285950775453,위치 부정확
01097.jpg,24.636298749999998,0.026124361902475357,0.3456709539560847,위치 부정확
01129.jpg,8.277360000000002,0.044094301760196686,0.45101087960120895,위치 부정확
01155.jpg,1.0205101302,0.02433548867702484,0.5774217064033745,낮은 신뢰도
01206.jpg,0.07053079860000001,0.5306412577629089,0.2863304633997661,위치 부정확
01219.jpg,19.1406,0.015632638707756996,0.6479321580682152,낮은 신뢰도
01273.jpg,7.515625000000001,0.012344377115368843,0.40813264368885754,위치 부정확
01315.jpg,0.5471976736,0.0,0.0,미검출
01327.jpg,0.0214854514,0.6129894852638245,0.41145860471072077,위치 부정확
01339.jpg,0.01953125,0.25222375988960266,0.41189086918179013,위치 부정확
01427.jpg,15.4934964236,0.07312183827161789,0.4907132756985363,위치 부정확
01591.jpg,0.008680486099999999,0.7440745830535889,0.4965619568966785,위치 부정확
01633.jpg,0.0897,0.0,0.0,미검출
01752.jpg,0.023872413199999998,0.0,0.0,미검출
01871.jpg,0.026619733799999996,0.46453312039375305,0.49539947491897734,위치 부정확
01885.jpg,0.050347499999999996,0.03353045880794525,0.6341036640786145,낮은 신뢰도
01902.jpg,0.0117186979,0.10933927446603775,0.4254285146566104,위치 부정확
02085.jpg,0.024305624999999997,0.0,0.0,미검출
02113.jpg,0.12827747299999998,0.4812479019165039,0.48478184326241885,위치 부정확
02119.jpg,0.1639665027,0.030360708013176918,0.5953015153256797,낮은 신뢰도
02123.jpg,0.0815958507,0.016729213297367096,0.6109783011238984,낮은 신뢰도
02188.jpg,0.032070279699999996,0.08431363105773926,0.8219844322375729,낮은 신뢰도
